,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,001,-149.804,113.20259,-12.24775,18.745922,-0.75591624,-1.9451061,-4.4565954,1.4990506,-3.3996727,2.2330544,-2.7583585,4.161473,-2.3548245,62.181316,29.986866,22.602638,19.734217,17.52337,14.220316,13.385848,12.065897,11.246627,9.447994,11.2515,8.307564,8.438837,-504.56372,-98.98518,-108.74408,-46.61177,-86.21299,-54.565525,-84.182785,-41.784767,-56.123043,-42.48541,-36.796898,-25.29367,-44.06242,3.7603607,192.00545,61.6828,79.00916,42.48637,45.009476,43.7194,75.00833,48.596443,43.70964,57.009636,38.28092,28.81776
1,002,-161.78223,126.336,-0.32772943,22.04615,-20.318047,-0.3466611,-16.387728,-0.95119363,-11.949644,-0.69839454,-5.707579,-0.14686607,-3.8613863,59.58554,31.81957,23.61892,18.971146,20.194647,14.214934,13.7215605,12.178534,11.730083,10.199735,11.404466,8.612524,9.09403,-526.87573,-24.662018,-98.38246,-42.14157,-93.33357,-49.41696,-67.04774,-45.140614,-62.270298,-34.927223,-54.0963,-40.99508,-55.55517,0.3703767,207.32591,71.90071,86.60025,32.718925,56.245365,28.94271,51.98037,29.670223,40.478226,39.70054,45.151154,32.77697
2,003,-219.6434,114.10704,-7.9160166,23.953302,1.3141187,7.677067,-3.470621,-7.326148,-17.45762,4.987316,-4.587296,-5.742755,4.9056754,98.54467,36.42643,26.943647,20.067122,22.533989,14.355789,14.677334,15.110855,17.963284,13.004747,14.066372,13.04095,10.401525,-543.7077,-64.70122,-95.71971,-41.794067,-73.41197,-37.749344,-50.711514,-60.70684,-81.79638,-34.207535,-43.964302,-38.350372,-24.89598,-3.8733244,198.31532,56.680443,90.907104,58.33061,57.963825,53.415733,33.146095,31.69255,50.62721,36.956326,58.43068,44.992756
3,004,-180.04303,116.64954,-3.1155152,17.144073,-14.496583,-4.024077,-15.471221,-0.70008034,-8.844031,-1.3978571,-2.6196544,0.28712764,-5.8682604,75.42557,35.853683,29.30982,22.251116,21.952555,17.061441,16.217958,12.967962,13.397731,11.850596,12.330329,10.825084,8.988082,-481.71967,-25.10154,-92.976,-57.34275,-85.56564,-58.821793,-70.52506,-46.425415,-60.21619,-46.46422,-44.81526,-40.533165,-35.751,15.154302,209.29166,79.074905,88.34398,46.51205,54.272842,39.29082,40.97374,37.958817,36.35637,43.172092,42.238594,32.881367
4,005,-174.15971,132.48573,-7.7950153,25.514685,-15.648819,8.311271,-14.815241,7.632951,-5.584972,4.1893554,8.323522,0.7327123,3.5124204,81.39184,29.350922,28.635115,18.292719,22.422722,13.645423,18.51687,11.742673,14.389668,9.716189,12.974086,8.848767,8.909688,-512.9641,-1.7145162,-89.9565,-32.878334,-84.58226,-43.851067,-64.741745,-39.36908,-60.734695,-33.282425,-29.954071,-30.062563,-32.10514,-31.745277,210.87787,79.40292,80.45123,29.870686,61.827137,29.586346,51.001938,48.09485,38.11815,50.025803,28.568466,34.02298
5,006,-135.89449,127.34159,-7.8778567,21.473722,-5.5930853,-0.4326099,2.2781463,-1.7409021,-11.063149,-0.03463466,-8.392213,1.1319051,-5.7304544,59.3546,28.276548,22.201574,23.360073,15.136235,18.789047,12.05391,10.351966,11.633225,9.369975,10.50548,8.767029,8.359364,-510.6548,-40.01735,-73.03663,-70.97556,-74.945786,-77.21578,-54.94764,-44.8308,-66.022316,-33.77065,-44.59977,-37.177017,-41.118332,36.564888,222.21468,96.75107,79.38655,40.05636,48.446686,47.548996,40.169807,24.489395,36.789482,30.2454,38.781193,28.610405
6,007,-158.0415,141.81207,-21.333124,14.352968,-3.4848986,-2.3133073,-7.6294365,1.6038473,-7.0628023,3.1399736,-0.5586156,0.6666962,-1.525043,70.05402,35.65161,19.563917,13.626911,13.727078,12.042468,11.981188,9.397266,10.881037,8.608164,10.4327,8.096727,8.133961,-496.76874,-31.664837,-85.33905,-38.762867,-59.954655,-46.10182,-49.140026,-35.247227,-54.379196,-26.915718,-36.134827,-29.8873,-29.096783,-20.639435,205.75294,39.562996,56.62597,30.854095,38.651344,35.333076,30.517126,31.94487,33.40158,37.705925,28.503288,28.216694
7,008,-129.77222,95.93048,0.8944446,24.882051,3.2983491,1.8953683,-7.078823,4.535758,-4.67025,4.631935,-3.3165178,5.039743,-0.34891868,70.26597,34.376507,22.12197,19.54602,14.666602,16.621193,14.54974,11.757919,11.063807,10.205309,10.196803,7.9542904,7.8517556,-497.78046,-44.592133,-72.024376,-65.866516,-69.3033,-60.194344,-64.84685,-38.083733,-49.697914,-27.640652,-46.02882,-33.79368,-33.629967,17.557367,175.50061,59.3992,87.32825,53.43708,53.42541,41.80203,43.990578,26.742756,40.018433,31.673643,31.03331,24.553547
8,009,-154.13997,126.98488,-7.6719027,14.975963,-12.79319,6.2589364,-14.646819,1.9536693,-11.829315,4.764876,-1.584076,-1.0231417,-1.2532597,61.968616,27.200905,25.168434,17.695765,21.42443,13.374766,15.148763,12.166025,13.231271,10.469351,12.520437,9.37959,9.409851,-312.85358,15.35005,-117.8805,-47.46186,-92.35756,-37.11022,-63.929337,-39.314632,-60.03172,-31.636797,-46.596684,-45.665146,-41.40519,6.6528063,206.055,71.35562,80.62129,45.410774,48.69462,39.752842,51.77841,41.04618,48.144302,40.52804,30.183666,41.6605
9,010,-170.16742,159.31956,-3.4767687,19.41853,-5.545492,2.8002582,-8.299671,2.319956,-3.4995747,4.5796475,3.1955464,3.0889242,0.8937217,54.23164,25.320719,23.060665,17.493557,19.053751,13.998929,13.805779,11.541515,13.2707815,9.500025,11.6983385,8.656882,8.665343,-369.32452,37.56694,-84.68848,-46.51015,-84.91088,-51.382027,-53.90317,-36.674755,-48.816643,-33.60729,-41.08574,-32.060036,-34.02951,-23.815022,235.84207,71.13196,77.78606,47.30797,51.560177,38.93337,43.10533,56.351456,40.65061,45.66951,35.945816,33.036476
